Country,Website,Publisher Name,Twitter Handle,Twitter Followers,FB Handle,FB Followers,Instagram Handle,Instagram Followers,Youtube Handle,Youtube Subscribers,Logo Image,Primary Colour,Secondary Colour,Language
United Kingdom,bbc.com,BBC News,@BBCNews,11.3M,@BBCNews,"3,209,465",@BBCNews,15.3M,@BBCNews,8.48M,https://pbs.twimg.com/profile_images/1150718511129477120/2N_GW7HR_400x400.png,#000000,#ffffff,English
United Kingdom,theguardian.com,The Guardian,@guardian,9.1M,@guardian,"8,478,198",@guardian,3.7M,@guardian,1.46M,https://pbs.twimg.com/profile_images/1175141826870861825/K2qKoGla_400x400.png,#052962,#ffffff,English
United Kingdom,dailymail.co.uk,Daily Mail Online,@mailonline,2.5M,@DailyMail,"19,925,131",@DailyMail,1.3M,@DailyMail,969K,https://pbs.twimg.com/profile_images/1194268540058193927/ca-uOgq6_400x400.png,#004db3,#ffffff,English
United Kingdom,cityam.com,City A.M,@cityAM,65.6k,@cityAM,"11,040",NaN,NaN,@cityAM,145,https://pbs.twimg.com/profile_images/882244135255764993/imaO0-Wi_400x400.jpg,#0088c3,#ffffff,English
United Kingdom,ft.com,Financial Times ,@FT,4.2M,@FT,"4,083,583",@FinancialTimes,2.1M,@FinancialTimes,484K,https://pbs.twimg.com/profile_images/931156393108885504/EqEMtLhM_400x400.jpg,#fff1e5,#ffffff,English
United Kingdom,standard.co.uk,Evening Standard,@eveningstandard,639K,eveningstandard,"1,460,481",eveningstandard,87.6K,eveningstandard,103K,https://pbs.twimg.com/profile_images/1321854822329524226/uG1Jj1f4_400x400.jpg,#1d1d1b,#ffffff,English
United Kingdom,metro.co.uk,Metro,@MetroUK,330.7K,MetroUK,"2,921,262",MetroUK,85.2K,MetroUK,14.4K,https://pbs.twimg.com/profile_images/1277541845959147522/-YMGj3gg_400x400.jpg,#ffc000,#ffffff,English
United Kingdom,thetimes.co.uk,The Times,@thetimes,1.4M,NaN,NaN,TheTimes,720K,TheTimes,45.1K,https://pbs.twimg.com/profile_images/1273572997614440450/ULkR08Er_400x400.png,#000100,#ffffff,English
United Kingdom,telegraph.co.uk,The Telegraph,@Telegraph,2.9M,TheTelegraph,"4,428,467",TheTelegraph,816K,TheTelegraph,1.45M,https://pbs.twimg.com/profile_images/943090005723041792/2cjxINlJ_400x400.jpg,#04777b,#ffffff,English
United Kingdom,independent.co.uk,The Independent,@Independent,3.3M,@theindependent,"10,183,553",TheIndependent,547K,TheIndependent,91.4K,https://pbs.twimg.com/profile_images/1148561910134202369/DRu4DQGV_200x200.png,#e30d24,#ffffff,English
United Kingdom,theweek.com,The Week,@theweek,131.9K,@Theweek,"419,004",@theweekmag,16.7K,NaN,NaN,https://pbs.twimg.com/profile_images/993911985657077761/zCnxSmsq_200x200.jpg,#EF3228,#ffffff,English
United Kingdom,mirror.co.uk,Daily Mirror,@DailyMirror,1.2M,DailyMirror,"3,543,914",DailyMirror,221K,DailyMirror,25.1K,https://pbs.twimg.com/profile_images/1318907801276735496/svMw0t_h_400x400.jpg,#e90e0e,#ffffff,English
United Kingdom,morningstar.com,"MorningStar, Inc.",@morningstar,100.2K,@morningstarInc,"16,704",@morningstarInc,"5,655",@morningstarInc,35.6K,https://pbs.twimg.com/profile_images/1280154088936812546/sEFWFZMK_400x400.png,#FF0000,#ffffff,English
United Kingdom,dailystar.co.uk,Daily Star,@dailystar,205.6K,@dailystar,"1,758,517",DailyStar,47.4K,NaN,NaN,https://pbs.twimg.com/profile_images/1321017269871349761/bzV2PeVj_400x400.jpg,#ea042c,#ffffff,English
United Kingdom,heraldscotland.com ,The Herald,@heraldscotland,113.6K,@heraldscotland,"41,985",Theheraldscotland,"3,313",NaN,NaN,https://pbs.twimg.com/profile_images/1314124364724473856/gkHGcF5j_400x400.jpg,#000000,#ffffff,English
United Kingdom,dailyrecord.co.uk,Daily Record,@Daily_Record,130.9K,@Daily_Record,"532,241",Scottishdailyrecord,18.2K,DailyRecord,6.31K,https://pbs.twimg.com/profile_images/1196371888345358336/5a3LeVCg_400x400.jpg,,#ffffff,English
United Kingdom,scotsman.com,The Scotsman,@TheScotsman,178.2K,@thescotmannewspaper,"278,956",Thescotman,15.2K,Thescotsman newspaper,681,https://pbs.twimg.com/profile_images/1323969587063459840/Aj4VIdWz_400x400.jpg,#222222,#ffffff,English
United Kingdom,edinburghnews.scotsman.com,Edinburgh Evening News,@edinburghpaper,165.2K,@EdinburghEveningNews,36.0K,Edinburgh Evening News,12.3K,NaN,NaN,https://pbs.twimg.com/profile_images/979302544844484609/6Su9azrs_400x400.jpg,#073773,#ffffff,English
United Kingdom,birminghammail.co.uk,Birmingham Live,@birmingham_live,300.1K,@birmingham_live,"465,915",@birmingham_live,62.8K,NaN,NaN,https://pbs.twimg.com/profile_images/1132962182260510720/XvjFYnXc_400x400.png,#9b2687,#ffffff,English
United Kingdom,reuters.com,Reuters,@Reuters,22.5M,@Reuters.Media/News Company,"4,890,541",@reuters,3.2M,@reuters,588K,https://pbs.twimg.com/profile_images/1194751949821939712/3VBu4_Sa_400x400.jpg,#FF8001,#ffffff,English
United Kingdom,thesun.co.uk,The Sun,@TheSun,1.7M,@TheSun,"3,338,702",@TheSun,332K,@TheSun,1.07M,https://pbs.twimg.com/profile_images/1319552411808260096/GfHUjg2A_400x400.jpg,#eb1701,#ffffff,English
United Kingdom,express.co.uk,Daily Express,@Daily_Express,862.6K,@DailyExpress.Media/News Company,"2,269,390",@dailyexpress,17K,NaN,NaN,https://pbs.twimg.com/profile_images/1321015345805754369/iKXRazTg_400x400.jpg,#000000,#ffffff,English
United Kingdom,manchestereveningnews.co.uk,Manchester News Men,@MENnewsdesk,587.7K,manchestereveningnews,"1,735,588",manchestereveningnews,214K,manchestereveningnews,18.7K,https://pbs.twimg.com/profile_images/1301037200335867906/mVUiUb54_400x400.jpg,#f1bb00,#ffffff,English
United Kingdom,liverpoolecho.co.uk,Liverpool Echo,@LivEchonews,478.6K,@LiverpoolEcho,"1,423,698",@LiverpoolEcho,146K,@LiverpoolEcho,10.9K,https://pbs.twimg.com/profile_images/1194176951549923328/opwynks0_400x400.jpg,#d51c24,#ffffff,English
United Kingdom,racingpost.com,Racing Post,@RacingPost,238.2K,@RacingPost,188K,@RacingPost,83.7K,@RacingPost,29K,https://pbs.twimg.com/profile_images/1065531962281132032/Msxo2XmM_400x400.jpg,#000000,#ffffff,English
United Kingdom,walesonline.co.uk,WalesOnline,@WalesOnline,258.7K,@WalesOnline,"673,975",@WalesOnline,91.7K,@WalesOnline,7.7K,https://pbs.twimg.com/profile_images/1213111561218338823/mluRo3Cx_400x400.jpg,#db0000,#ffffff,English
United Kingdom,yorkshirepost.co.uk,The Yorkshire Post,@yorkshirepost,189.1K,@yorkshirepost,"107,738",@yorkshirepost,"8,865",@yorkshirepost,1.59K,https://pbs.twimg.com/profile_images/613755763429781505/OGUTFnsX_400x400.jpg,#ffc600,#ffffff,English
United Kingdom,belfastlive.co.uk,Belfast Live,@BelfastLive,80.6K,@BelfastLive,"345,186",@BelfastLive,70.5K,@BelfastLive,413,https://pbs.twimg.com/profile_images/765463109003796480/FfYBNk5Q_400x400.jpg,#db0000,#ffffff,English
United Kingdom,belfasttelegraph.co.uk,Belfast Telegraph,@BelTel,187.6K,@BelTel,"272,842",Belfasttelegraph,"2,425",Belfasttelegraph,328,https://pbs.twimg.com/profile_images/1261216395997650944/KNjxvB5I_400x400.jpg,#06778a,#ffffff,English
United Kingdom,celebitchy.com,Celebitchy,@celebitchy,12.1K,@celebitchy,"10,834",@celebitchy,"2,823",@celebitchy,217,https://pbs.twimg.com/profile_images/1047036658208727040/IsYTwpLg_400x400.jpg,#5f8b43,#ffffff,English
USA,nytimes.com,The New York Times,@nytimes,47.6M,@nytimes,"17,542,158",@nytimes,10.7M,@nytimes,3.21M,https://pbs.twimg.com/profile_images/1098244578472280064/gjkVMelR_400x400.png,#000000,#ffffff,English
USA,wsj.com,The Wall Street Journal,@WSJ,18.1M,@WSJ,"6,655,026",@WSJ,3.2M,@WSJ,2.48M,https://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_400x400.jpg,#000000,#ffffff,English
USA,washintonpost.com,The Washington Post,@washingtonpost,16.4M,@washingtonpost,"6,776,746",@washingtonpost,3.9M,@washingtonpost,1.46M,https://pbs.twimg.com/profile_images/1060271522319925257/fJKwJ0r2_400x400.jpg,#000000,#ffffff,English
USA,usatoday.com,USA Today,@USATODAY,4.1M,@USATODAY,"8,733,301",@USATODAY,2M,@USATODAY,1.67M,https://pbs.twimg.com/profile_images/924991591642796032/v90LrlR__400x400.jpg,#009bff,#ffffff,English
USA,latimes.com,Los Angeles times,@latimes,3.7M,@latimes,"2,889,174",@latimes,627K,@latimes,399K,https://pbs.twimg.com/profile_images/1171581672074043393/XNqsW9EE_400x400.jpg,#000000,#ffffff,English
USA,nypost.com,New York Post,@nypost,2.1M,@nypost,"4,723,185",@nypost,460K,@nypost,446K,https://pbs.twimg.com/profile_images/966372680306868224/60wfGe9e_400x400.jpg,#cc3333,#ffffff,English
USA,ajc.com,AJC,@ajc,1M,@ajc,"841,722",@ajc,80.8K,Atlanta Journal-Constitution,"6,524",https://pbs.twimg.com/profile_images/1205233781319311361/y6T5pwyP_400x400.jpg,#000000,#ffffff,English
USA,chicagotribune.com,Chicago Tribune,@chicagotribune,1.1M,@chicagotribune,"679,084",@chicagotribune,185K,@chicagotribune,84.8K,https://pbs.twimg.com/profile_images/1264067193404358657/9KYMfUmN_400x400.jpg,#004e87,#ffffff,English
USA,bostonglobe.com,The Boston Globe,@BostonGlobe,784.5K,@BostonGlobe,"526,123",@BostonGlobe,182K,@BostonGlobe,49.6K,https://pbs.twimg.com/profile_images/1034455576309198848/3yxsqcb7_400x400.jpg,#000000,#ffffff,English
USA,nydailynews.com,New York Daily News,@NYDailyNews,794.9K,@NYDailyNews,"3,378,801",@NYDailyNews,124K,@NYDailyNews,173K,https://pbs.twimg.com/profile_images/1197327700945506304/kWMTzTP1_400x400.jpg,#d80000,#ffffff,English
USA,mtv.com,MTV,@MTV,16.1M,@MTV,"45,827,436",@MTV,13.2M,@MTV,8.21M,https://pbs.twimg.com/profile_images/1317092777973501957/rSs992Nq_400x400.jpg,#FFFF01,#ffffff,English
USA,foxnews.com,Fox News,@FoxNews,19.9M,@FoxNews,"22,322,885",@FoxNews,5.6M,@FoxNews,6.58M,https://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_400x400.jpg,#003366,#ffffff,English
USA,houstonchronicle.com,Houston Chronicle,@HoustonChron,644.2K,@HoustonChron,"490,993",@HoustonChron,140K,@HoustonChron,1.01K,https://pbs.twimg.com/profile_images/1154460440321245185/yI7hwyGH_400x400.jpg,#000000,#ffffff,English
USA,miamiherald.com,Maimi Herald,@MiamiHerald,483.5K,@MiamiHerald,"367,926",@MiamiHerald,143K,@MiamiHerald,103K,https://pbs.twimg.com/profile_images/875459620298522629/oMudjbQO_400x400.jpg,#0b67b2,#ffffff,English
USA,msnbc.com,MSNBC,@MSNBC,3.7M,@MSNBC,"2,463,375",@MSNBC,1M,@MSNBC,3.62m,https://pbs.twimg.com/profile_images/1321089811290202119/6QEBEjWk_400x400.jpg,#000000,#ffffff,English
USA,tmz.com,TMZ,@TMZ,5.5M,@TMZ,"7,320,947",@TMZ,1.5M,@TMZ,3.97M,https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_400x400.jpg,#cf1100,#ffffff,English
